Ano;MunicipioResidencia;NotaCh;NotaCn;NotaLc;NotaMt;UfResidencia;CoUfResidencia;Idade;NotaComp1;NotaComp2;NotaComp3;NotaComp4;NotaComp5;NotaRedacao;CorRaca;DependenciaAdmEsc;LocalizacaoEsc;StConclusao;StatusRedacao
2019;Cachoeira do Arari;479.8;439.8;509.7;396.1;PA;15;18;140;140;140;160;160;740;2;2;1;2;1
2019;Santa Luzia;394;352.8;454.9;458.7;MA;21;17;120;120;120;120;0;480;2;2;1;2;1
2019;Bom Jesus;466.9;474.6;505.6;386.5;PI;22;17;120;140;120;120;140;640;2;2;1;2;1
2019;Pacajá;518.5;484.7;471.7;405.4;PA;15;18;80;80;40;80;0;280;2;2;1;2;1
2019;Icatu;383.8;372.7;362.9;450.2;MA;21;17;80;120;120;100;20;440;2;2;1;2;1
2019;Alto Longá;407;466.2;462.8;370.1;PI;22;17;120;100;120;120;80;540;2;2;1;2;1
2019;Conceição do Tocantins;433.4;447.6;467.1;521.6;TO;17;18;120;120;120;120;120;600;2;2;1;2;1
2019;Piracuruca;602.7;446.6;563.8;522.3;PI;22;17;140;120;140;160;160;720;2;2;1;2;1
2019;Aldeias Altas;322.7;401.3;383.9;393.1;MA;21;17;80;120;80;100;0;380;2;2;1;2;1
2019;Monte do Carmo;490.3;441.2;491.2;474;TO;17;19;120;180;120;140;100;660;2;2;1;2;1
2019;Jaguaruana;469.7;419.9;476.1;425.9;CE;23;17;100;100;100;120;140;560;2;2;1;2;1
2019;Bom Jardim;494.6;426;486;528.8;MA;21;18;120;120;120;120;140;620;2;2;1;2;1
2019;São João de Pirabas;483.1;483;334.7;443.7;PA;15;22;120;120;80;80;0;400;2;2;1;2;1
2019;Campinas do Piauí;538.5;459.6;367.8;537;PI;22;19;120;120;100;120;100;560;2;2;1;2;1
2019;Aldeias Altas;424;454.5;401.3;411.7;MA;21;22;120;80;120;120;0;440;2;2;1;2;1
2018;São Luís;615.8;521.6;579.9;498.4;MA;21;18;120;40;40;120;40;360;2;2;1;2;1
2018;Dianópolis;482;425.3;424.5;432.4;TO;17;18;120;40;40;120;40;360;3;2;1;2;1
2018;Grajaú;438.3;455.5;399.4;384.6;MA;21;17;100;40;40;80;20;280;3;2;1;2;1
2018;Aurora do Tocantins;504.7;484.7;437;431.1;TO;17;18;100;40;40;120;40;340;1;2;1;2;1
2018;Viana;609.4;466.7;508.1;540.4;MA;21;18;120;80;80;80;80;440;3;2;1;2;1
2018;Bom Jardim;489.8;471.6;437.2;426.9;MA;21;20;80;80;60;100;20;340;3;2;1;2;1
2018;Vargem Grande;478.7;438.5;422.5;420.2;MA;21;17;100;40;40;80;40;300;3;2;1;2;1
2018;Cabo Frio;428.8;416.2;442;445.3;RJ;21;19;60;80;60;60;40;300;3;2;1;2;1
2018;Axixá;427.6;385.4;467.2;439.5;MA;21;17;120;80;60;120;60;440;3;2;1;2;1
2018;Paraibano;484.2;505.5;465;506.7;MA;21;17;120;40;40;100;40;340;1;2;1;2;1
2018;Viana;516.7;545.2;554.4;516;MA;21;17;120;120;120;120;20;500;2;2;1;2;1
2018;Tutóia;439.7;438.7;477.5;465.9;MA;21;18;120;120;100;120;100;560;3;2;1;2;1
2018;Lago Verde;556.1;425.9;436.8;511.1;MA;21;17;120;40;40;120;40;360;0;2;1;2;1
2018;Tutóia;517.7;390.3;497.2;437.7;MA;21;18;100;120;120;120;80;540;3;2;1;2;1
2018;Colméia;554.9;471.9;512.6;561.7;TO;17;18;120;140;120;120;100;600;1;2;1;2;1
2018;Axixá;563.3;422;543.2;498.2;MA;21;17;120;120;80;80;80;480;3;2;1;2;1
2018;Itabaiana;463.1;558.5;412.5;473.9;SE;21;17;120;60;60;100;60;400;3;2;1;2;1
2018;Governador Nunes Freire;451.7;469.6;431.1;594.1;MA;21;19;120;40;40;100;40;340;1;2;1;2;1
2018;Nova Colinas;499.2;380.2;413.1;372.4;MA;21;18;120;40;40;120;40;360;1;2;1;2;1
2018;Joselândia;488.2;432.4;518.5;412.1;MA;21;17;100;120;80;120;80;500;3;2;1;2;1
2018;Vitorino Freire;465.5;418.3;514.5;425.1;MA;21;16;140;120;100;120;100;580;1;2;1;2;1
2018;Senador La Rocque;561.1;461.2;521.5;472.5;MA;21;18;140;40;40;140;40;400;3;2;1;2;1
2018;Itacajá;487.3;515.9;431.6;488.9;TO;17;17;100;40;40;100;40;320;2;2;1;2;1
2018;Guarabira;450.9;403.4;403.7;406.5;PB;17;19;80;40;40;80;20;260;3;2;1;2;1
2018;Humberto de Campos;623.2;470.3;522.9;445.9;MA;21;17;120;120;120;120;40;520;3;2;1;2;1
2018;São Luís;424;487;508.5;490;MA;21;17;120;120;100;140;120;600;1;2;1;2;1
2018;Caxias;634;460.3;525.9;452;MA;21;19;100;60;60;80;20;320;3;2;1;2;1
2018;São Luís;625.3;517.1;515.6;517.2;MA;21;19;60;120;80;80;20;360;3;2;1;2;1
2018;Aurora do Tocantins;559.4;492.3;402;390.1;TO;17;18;120;40;40;100;40;340;3;2;1;2;1
2018;Nova Olinda do Maranhão;628.2;575.5;548.1;527;MA;21;17;120;120;120;120;60;540;2;2;1;2;1
2018;São Domingos do Maranhão;611.4;598.9;548.8;474.3;MA;21;17;140;120;120;120;120;620;3;2;1;2;1
